epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,g,m
0,0.0,25.0,25,False,False,((ρh/(((fyv+(((((a*(((((((((((((((((a/h0)**(2)))**(-1)))**(0.5)))**(-1)))**(0.5)))**(0.5)))**(0.5))-m))**(2))))**(-1)))**(2)))/a/h0)/a/h0))/ρl),"[div div ρh div div add fyv n2 inv mul a n2 sub sqrt sqrt sqrt inv sqrt
 inv n2 a/h0 m a/h0 a/h0 ρl]",1.0,1.0
0,0.0,27.0,27,False,False,(((ρl)**(0.5))/(-((h0/((((m/(((((((h*(((1.0*(l0/l0)))**(0.5)))-fyl))**(0.5))-ρh))**(0.5))))**(-1))+l0)))+fyl)),"[div sqrt ρl add neg div h0 add inv div m sqrt sub sqrt sub mul h sqrt mul
 1.0 div l0 l0 fyl ρh l0 fyl]",1.0,1.0
0,0.0,25.0,25,False,False,-((ρv/-(((((((((((((h)**(2))*(ρh*(fyl*(ρh*(a/h))))))**(0.5)))**(0.5))-sv))**(-1))-fyv)-a/h0)))),"[neg div ρv neg sub sub inv sub sqrt sqrt mul n2 h mul ρh mul fyl mul ρh
 div a h sv fyv a/h0]",1.0,1.0
0,0.0,26.0,26,False,False,((l0*-((((ρl/(((((((((b/(((-((ρl*(ρh+fyl)))-b))**(2)))-h0))**(-1)))**(2))-1.0))**(0.5))))**(2))))+h),"[add mul l0 neg n2 div ρl sqrt sub n2 inv sub div b n2 sub neg mul ρl add
 ρh fyl b h0 1.0 h]",1.0,1.0
0,0.0,27.0,27,False,False,((-((((((ρl/(((((((((((((((ρh*((((a+l0/h))**(-1))+b)))**(-1))-ρv))**(-1))+l0/h))**(2)))**(-1))+l0/h))**(0.5))-a)))**(2)))**(2))))**(-1)),"[inv neg n2 n2 div ρl sub sqrt add inv n2 add inv sub inv mul ρh add inv
 add a l0/h b ρv l0/h l0/h a]",1.0,1.0
0,0.0,22.0,22,False,False,((-(sv)*(sin(ρv)*(((sin(ρh)*(b/((-((((ρl*(h-ρv)))**(2))))**(-1)))))**(0.5))))+b),"[add mul neg sv mul sin ρv sqrt mul sin ρh div b inv neg n2 mul ρl sub h
 ρv b]",1.0,1.0
0,0.0,25.0,25,False,False,-((l0*(((m/((((m-(sh/(fyl/((((((sv/l0)+a))**(0.5)))**(-1)))))-fyh)/l0)-ρv)))**(-1)))),"[neg mul l0 inv div m sub div sub sub m div sh div fyl inv sqrt add div sv
 l0 a fyh l0 ρv]",1.0,1.0
0,0.0,22.0,22,False,False,-((((h0/-((((((-((fc'*(((g/(((((sh*(fyv-fyv)))**(-1)))**(2))))**(-1)))))**(-1)))**(2))+b))))**(-1))),"[neg inv div h0 neg add n2 inv neg mul fc' inv div g n2 inv mul sh sub fyv
 fyv b]",1.0,1.0
0,0.0,21.0,21,False,False,(((((sin(-(((-(exp(((a-a)/h0))))**(0.5)))))**(-1))/(ρl/(((h/(fyh+a)))**(2)))))**(0.5)),"[sqrt div inv sin neg sqrt neg exp div sub a a h0 div ρl n2 div h add fyh
 a]",1.0,1.0
0,0.0,23.0,23,False,False,((h*(exp(sin(a/h0))*(((g/(((((m/-((((h0/(((1.0-ρl))**(-1))))**(0.5)))))**(-1)))**(0.5))))**(-1))))-l0),"[sub mul h mul exp sin a/h0 inv div g sqrt inv div m neg sqrt div h0 inv
 sub 1.0 ρl l0]",1.0,1.0
