complexity,length,reward,rmse,r2,expression,expression_prefix,g,m
4,4,0.34727674885286897,338.9433100873083,-2.532699952505487,-((m*g)),[neg mul m g],5.327881622755985e-14,5.327881622755985e-14
6,6,0.34784406646684074,338.09639542591987,-2.5150677563014607,(fc'/((-(((h0)**(-1))))**(2))),[div fc' n2 neg inv h0],1.0,1.0
7,7,0.3810513650727159,292.9171351102159,-1.6384093378151032,(b/(l0/h/(fyh*b))),[div b div l0/h mul fyh b],1.0,1.0
8,8,0.5004604055469121,180.000571336905,0.003676470588235059,(((((((((-(m)*g))**(2)))**(-1)))**(0.5)))**(-1)),[inv sqrt inv n2 mul neg m g],16.946900202456558,16.946900202456558
